sign,negative,positive,neutral,prediction
abandon,-1.9,0.53852,"[-1, -2, -2, -2, -2, -3, -2, -2, -1, -2]",0.4138879
abandoned,-2.0,1.09545,"[-1, -1, -3, -2, -1, -4, -1, -3, -3, -1]",0.34815627
abandoner,-1.9,0.83066,"[-1, -1, -3, -2, -1, -3, -1, -2, -3, -2]",0.3744672
abandoners,-1.9,0.83066,"[-2, -3, -2, -3, -2, -1, -2, -2, 0, -2]",0.36184394
abandoning,-1.6,0.8,"[-3, -2, -3, -2, -1, -1, -1, -1, -1, -1]",0.3192573
abandonment,-2.4,1.0198,"[-4, -2, -1, -4, -2, -1, -2, -3, -3, -2]",0.31127915
abandonments,-1.7,0.45826,"[-2, -1, -2, -2, -1, -2, -1, -2, -2, -2]",0.3517636
abandons,-1.3,0.9,"[-2, -1, -1, -2, -1, -2, -1, -2, 1, -2]",0.41233313
abducted,-2.3,1.18743,"[-3, -1, 0, -3, -1, -3, -4, -2, -3, -3]",0.3063752
abduction,-2.8,0.87178,"[-4, -3, -3, -4, -1, -3, -2, -2, -3, -3]",0.29704618
abductions,-2.0,1.41421,"[-3, -4, -1, -3, -1, -3, 1, -2, -1, -3]",0.3001494
abhor,-2.0,1.09545,"[-3, -3, -1, -1, -2, -1, -3, -3, 0, -3]",0.37708852
abhorred,-2.4,1.49666,"[-4, -4, 0, -3, -2, -1, -4, -3, -3, 0]",0.34415007
abhorrent,-3.1,1.3,"[-4, -4, -4, -2, 0, -4, -2, -3, -4, -4]",0.3796238
abhors,-2.9,1.51327,"[0, -4, -3, -3, -4, -4, 0, -4, -3, -4]",0.39775363
abilities,1.0,0.63246,"[1, 2, 0, 1, 0, 1, 1, 1, 1, 2]",0.61700416
ability,1.3,0.64031,"[1, 1, 1, 0, 1, 2, 2, 2, 2, 1]",0.6655579
aboard,0.1,0.3,"[0, 0, 0, 0, 1, 0, 0, 0, 0, 0]",0.5285501
absentee,-1.1,0.53852,"[-1, -1, 0, -2, -1, -1, -2, -1, -1, -1]",0.33037192
absentees,-0.8,0.6,"[-1, 0, 0, -1, -1, 0, -2, -1, -1, -1]",0.37660065
absolve,1.2,1.46969,"[2, -3, 2, 2, 1, 1, 2, 1, 2, 2]",0.50946516
absolved,1.5,0.92195,"[3, 1, 2, 1, 0, 2, 3, 1, 1, 1]",0.5380007
absolves,1.3,1.00499,"[3, 1, 1, 0, 0, 2, 3, 1, 1, 1]",0.511879
absolving,1.6,0.8,"[3, 1, 2, 1, 1, 2, 3, 1, 1, 1]",0.5249564
abuse,-3.2,0.6,"[-4, -2, -3, -4, -3, -4, -3, -3, -3, -3]",0.2523161
abused,-2.3,0.64031,"[-2, -2, -3, -2, -2, -4, -2, -2, -2, -2]",0.31805888
abuser,-2.6,0.4899,"[-3, -2, -3, -3, -2, -3, -2, -2, -3, -3]",0.27401468
abusers,-2.6,1.0198,"[-2, -3, -3, -3, -3, -2, -3, -4, -3, 0]",0.34596652
abuses,-2.6,0.66332,"[-3, -2, -3, -3, -3, -3, -1, -2, -3, -3]",0.29810017
abusing,-2.0,1.41421,"[-1, -2, -2, -4, -4, -2, -3, -1, 1, -2]",0.2483362
abusive,-3.2,0.74833,"[-4, -3, -3, -4, -4, -3, -4, -2, -3, -2]",0.26937473
abusively,-2.8,0.6,"[-3, -4, -3, -2, -3, -2, -2, -3, -3, -3]",0.2664144
abusiveness,-2.5,0.92195,"[-2, -4, -2, -3, -2, -3, -4, -2, -1, -2]",0.27790555
abusivenesses,-3.0,0.63246,"[-3, -3, -4, -3, -4, -2, -2, -3, -3, -3]",0.3142838
accept,1.6,0.91652,"[2, 1, 2, 1, 1, 2, 4, 1, 1, 1]",0.622198
