sign,negative,positive,neutral,predicted,loss
advantage,1.0,0.63246,"[1, 2, 1, 1, 2, 0, 1, 0, 1, 1]",1.000042,4.1961669921875e-05
neglected,-2.4,1.0198,"[-1, -2, -4, -3, -2, -2, -1, -4, -3, -2]",-2.4003103,0.00031027793884286226
tortured,-2.6,1.0198,"[-4, -1, -2, -2, -4, -3, -2, -2, -4, -2]",-2.599677,0.00032291412353524507
apprehensions,-0.9,1.04403,"[-1, -1, -1, -1, -2, -2, -1, -1, -1, 2]",-0.90039873,0.0003987312316894309
punishability,-1.6,1.49666,"[-2, -2, -1, -1, -2, -2, -3, 2, -4, -1]",-1.6006069,0.0006069183349608487
tenderheartedness,0.7,1.48661,"[1, 3, 2, 2, -1, -1, 1, -2, 1, 1]",0.6992111,0.0007888793945312056
snobbishnesses,-1.7,0.78102,"[-2, -1, -3, -2, -1, -1, -2, -1, -3, -1]",-1.6989133,0.0010866641998290572
murdered,-3.4,0.66332,"[-4, -3, -2, -3, -4, -4, -3, -3, -4, -4]",-3.3988857,0.0011142730712889737
grandees,1.2,0.87178,"[0, 2, 2, 1, 0, 1, 0, 2, 2, 2]",1.2011538,0.0011537551879883257
overjoyed,2.7,0.78102,"[4, 3, 3, 4, 2, 2, 2, 2, 3, 2]",2.6987076,0.0012924194335939276
remorseful,-0.9,2.07123,"[-1, 1, -2, -3, 2, -1, -3, -2, 3, -3]",-0.9014988,0.0014987945556640403
gentler,1.4,0.4899,"[2, 1, 1, 1, 1, 2, 2, 1, 2, 1]",1.4016843,0.001684284210205167
charmingly,2.2,0.87178,"[2, 2, 2, 1, 2, 2, 3, 3, 4, 1]",2.2017303,0.0017302513122556817
warships,-0.5,0.80623,"[0, -1, 0, 0, -2, 0, 0, -2, 0, 0]",-0.5019679,0.001967906951904297
friendlies,2.2,0.74833,"[3, 2, 2, 3, 2, 2, 1, 3, 1, 3]",2.2021422,0.0021422386169431817
charitable,1.7,0.64031,"[1, 2, 1, 2, 2, 1, 2, 1, 3, 2]",1.6977587,0.0022413253784179243
frauds,-2.3,0.45826,"[-2, -2, -2, -3, -3, -2, -3, -2, -2, -2]",-2.3025303,0.00253028869628924
hysterics,-1.8,1.77764,"[-3, -3, -3, -1, -3, -1, -2, 3, -3, -2]",-1.7974665,0.002533483505249068
