Word,negative,positive,neutral,norm_valence
welled,0.4,0.8,"[0, 0, 2, 0, 0, 0, 0, 0, 2, 0]",0.55
trivialization,-0.9,1.04403,"[-1, 2, -1, -1, -2, -2, -1, -1, -1, -1]",0.3875
boosting,1.4,0.91652,"[1, 1, 3, 0, 2, 2, 0, 2, 1, 2]",0.675
depressor,-1.8,1.16619,"[-2, -4, -3, 0, 0, -2, -2, -2, -1, -2]",0.275
drained,-1.5,0.5,"[-1, -1, -2, -2, -1, -2, -1, -2, -1, -2]",0.3125
doomsday,-2.8,1.249,"[-3, -1, -3, -4, -3, -4, 0, -4, -3, -3]",0.15000000000000002
ashamed,-2.1,1.3,"[-3, -3, -3, -2, -2, 1, -2, -4, -1, -2]",0.2375
lowlight,-2.0,1.26491,"[-3, -2, -1, -3, 1, -2, -1, -3, -3, -3]",0.25
grimiest,-0.7,2.05183,"[-2, -3, 1, -3, 2, -2, -2, -2, 2, 2]",0.4125
destructs,-2.4,0.91652,"[-2, -1, -2, -4, -4, -2, -3, -2, -2, -2]",0.2
lovelies,2.2,0.74833,"[3, 3, 3, 1, 2, 2, 3, 2, 1, 2]",0.775
problem,-1.7,0.64031,"[-2, -2, -1, -1, -1, -3, -1, -2, -2, -2]",0.2875
freak,-1.9,0.9434,"[-3, -2, -1, -2, -4, -1, -2, -1, -2, -1]",0.2625
deprivation,-1.8,1.4,"[-3, -2, -3, -2, -1, -2, -2, 2, -2, -3]",0.275
jollifications,2.0,0.7746,"[2, 3, 2, 2, 2, 2, 3, 2, 0, 2]",0.75
combats,-0.8,1.16619,"[0, -2, -3, -1, 0, 0, 0, -1, 1, -2]",0.4
grossularite,-0.1,1.13578,"[2, 0, 0, 0, 0, -3, 0, 0, 0, 0]",0.4875
eery,-0.9,1.04403,"[-3, -1, -2, -1, -2, 0, 0, 0, 0, 0]",0.3875
graver,-1.1,1.22066,"[0, -2, -1, 0, 0, -2, -1, 0, -4, -1]",0.3625
rejections,-2.1,0.53852,"[-3, -2, -2, -2, -1, -2, -3, -2, -2, -2]",0.2375
passionflower,0.3,0.45826,"[0, 0, 0, 0, 1, 0, 1, 1, 0, 0]",0.5375
doomsaying,-1.5,1.28452,"[-3, -2, -2, 0, 1, 0, -3, -2, -2, -2]",0.3125
painfulness,-2.7,0.64031,"[-3, -4, -3, -2, -3, -3, -3, -2, -2, -2]",0.16249999999999998
heh,-0.6,1.28062,"[0, 1, -1, 1, -1, -2, -1, -3, 1, -1]",0.425
deceived,-1.9,1.3,"[1, -3, -3, -1, -1, -2, -2, -2, -4, -2]",0.2625
toughened,0.1,0.53852,"[1, 0, 0, 0, 0, -1, 1, 0, 0, 0]",0.5125
underestimate,-1.2,0.4,"[-1, -2, -1, -1, -1, -1, -1, -1, -2, -1]",0.35
wronged,-1.9,0.53852,"[-2, -2, -2, -2, -2, -1, -3, -2, -2, -1]",0.2625
grandees,1.2,0.87178,"[0, 2, 2, 1, 0, 1, 0, 2, 2, 2]",0.65
cheerful,2.5,0.67082,"[3, 2, 3, 2, 2, 2, 4, 2, 3, 2]",0.8125
greater,1.5,0.67082,"[2, 1, 2, 1, 2, 2, 2, 1, 0, 2]",0.6875
nurture,1.4,0.8,"[3, 1, 2, 2, 1, 2, 1, 0, 1, 1]",0.675
prosecutes,-1.8,1.53623,"[-2, -2, -2, -3, -2, -2, -4, 1, 1, -3]",0.275
resolvents,0.4,0.66332,"[2, 0, 0, 1, 0, 0, 1, 0, 0, 0]",0.55
tranquiler,1.9,0.7,"[2, 1, 2, 2, 3, 3, 2, 2, 1, 1]",0.7375
shy,-1.0,0.0,"[-1, -1, -1, -1, -1, -1, -1, -1, -1, -1]",0.375
merrier,1.7,1.41774,"[3, 2, 2, 3, 2, 2, -1, -1, 3, 2]",0.7125
friendships,1.6,0.91652,"[2, 1, 1, 0, 3, 2, 2, 3, 1, 1]",0.7
creates,1.1,0.83066,"[2, 0, 0, 1, 1, 2, 0, 1, 2, 2]",0.6375
gracious,2.6,0.8,"[2, 2, 3, 3, 3, 3, 2, 4, 1, 3]",0.825
inspire,2.7,0.78102,"[2, 3, 3, 3, 3, 3, 3, 1, 4, 2]",0.8375
fearfullest,-2.5,1.0247,"[-3, -3, -4, -4, -3, -2, -1, -2, -2, -1]",0.1875
horrifyingly,-3.3,0.9,"[-3, -3, -4, -4, -1, -4, -3, -3, -4, -4]",0.08750000000000002
merrily,2.4,0.66332,"[3, 3, 2, 2, 2, 3, 2, 3, 1, 3]",0.8
dooms,-1.1,1.57797,"[1, -3, -1, -3, -2, -1, -3, 1, 1, -1]",0.3625
tortures,-2.5,0.92195,"[-2, -3, -2, -4, -1, -3, -2, -4, -2, -2]",0.1875
terrorised,-3.3,0.64031,"[-3, -3, -4, -3, -2, -4, -4, -3, -4, -3]",0.08750000000000002
successions,0.1,0.3,"[0, 0, 0, 0, 0, 0, 0, 1, 0, 0]",0.5125
infuriates,-2.6,0.8,"[-4, -2, -1, -3, -3, -3, -2, -3, -3, -2]",0.175
validating,1.4,0.8,"[2, 2, 1, 3, 0, 2, 1, 1, 1, 1]",0.675
idealizing,1.4,1.0198,"[1, 1, 2, 3, 0, 1, 3, 0, 2, 1]",0.675
adorable,2.2,0.6,"[3, 2, 2, 3, 2, 2, 1, 3, 2, 2]",0.775
fantasticality,1.7,1.26886,"[4, 1, 0, 2, 2, 1, 4, 1, 1, 1]",0.7125
opportunisms,0.2,1.4,"[2, -1, 0, -1, 1, -2, 2, 2, -1, 0]",0.525
terrorized,-3.1,0.7,"[-2, -3, -2, -4, -4, -4, -3, -3, -3, -3]",0.11249999999999999
solved,1.1,0.53852,"[1, 2, 1, 0, 1, 1, 1, 2, 1, 1]",0.6375
pityriasis,-0.8,0.87178,"[-2, 0, 0, 0, -1, 0, -2, -1, -2, 0]",0.4
idealess,-1.9,1.3,"[-4, -2, -3, -2, -1, 0, -4, -1, -1, -1]",0.2625
hopelessness,-3.1,0.7,"[-3, -4, -4, -3, -3, -3, -4, -3, -2, -2]",0.11249999999999999
compassionate,2.2,0.87178,"[0, 3, 3, 2, 2, 3, 3, 2, 2, 2]",0.775
faithlessly,-0.9,1.51327,"[-1, -2, -1, -3, -2, -1, 3, 0, -1, -1]",0.3875
yeees,1.7,1.00499,"[1, 3, 1, 2, 1, 1, 4, 2, 1, 1]",0.7125
positivities,2.6,0.91652,"[2, 2, 4, 3, 2, 3, 4, 3, 1, 2]",0.825
selfishness,-1.7,0.64031,"[-1, -1, -1, -2, -2, -1, -2, -2, -3, -2]",0.2875
phobia,-1.6,1.0198,"[-2, -2, 1, -2, -3, -1, -1, -2, -2, -2]",0.3
wiseacres,-0.1,0.9434,"[-2, 1, 0, -1, 0, 1, 1, -1, 0, 0]",0.4875
disadvantageousness,-1.6,0.66332,"[-1, -1, -3, -2, -1, -1, -2, -1, -2, -2]",0.3
dominatrixes,0.6,1.35647,"[0, 4, 0, -1, 0, 2, 1, 0, 0, 0]",0.575
